City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,bluff,-46.6,168.3333,13.22,78,23,4.35,NZ,1680338839
1,gat,31.61,34.7642,18.38,14,2,3.3,IL,1680338840
2,waipawa,-41.4122,175.5153,15.09,89,100,3.2,NZ,1680338840
3,iqaluit,63.7506,-68.5145,-12.15,85,100,2.57,CA,1680338841
4,tasiilaq,65.6145,-37.6368,-3.91,76,100,2.43,GL,1680338841
5,bredasdorp,-34.5322,20.0403,22.01,57,4,5.32,ZA,1680338841
6,hobart,-42.8794,147.3294,13.92,66,75,5.14,AU,1680338826
7,ouallam,14.3188,2.0866,32.05,7,12,6.74,NE,1680338842
8,elat,29.5581,34.9482,18.91,32,0,7.2,IL,1680338842
9,castro,-24.7911,-50.0119,15.23,93,0,1.33,BR,1680338842
10,ushuaia,-54.8,-68.3,6.81,61,0,2.06,AR,1680338843
11,avarua,-21.2078,-159.775,26.03,89,40,1.03,CK,1680338843
12,morehead,37.2711,-87.1764,17.86,52,0,3.09,US,1680338844
13,pangnirtung,66.1451,-65.7125,-19.33,83,71,3.1,CA,1680338844
14,east london,-33.0153,27.9116,22.52,64,0,2.57,ZA,1680338844
15,rikitea,-23.1203,-134.9692,26.45,80,26,4.88,PF,1680338844
16,hilo,19.7297,-155.09,22.93,90,100,1.54,US,1680338845
17,nikolskoye,59.7035,30.7861,-0.05,100,100,3.26,RU,1680338845
18,vaini,-21.2,-175.2,25.09,94,20,3.09,TO,1680338845
19,fortuna,40.5982,-124.1573,10.37,77,100,4.47,US,1680338846
20,bismarck,46.8083,-100.7837,-13.09,78,0,2.57,US,1680338846
21,provideniya,64.3833,-173.3,-2.4,97,100,4.51,RU,1680338847
22,maceio,-9.6658,-35.7353,23.69,94,40,2.06,BR,1680338464
23,mnogovershinnyy,53.9353,139.9242,-2.08,93,41,1.83,RU,1680338847
24,ballina,-28.8667,153.5667,19.32,70,73,2.88,AU,1680338847
25,ibicui,-14.8417,-39.9867,18.16,97,4,0.66,BR,1680338848
26,saskylakh,71.9167,114.0833,-12.85,88,100,5.89,RU,1680338848
27,atuona,-9.8,-139.0333,26.97,74,17,4.19,PF,1680338848
28,albany,42.6001,-73.9662,8.74,81,100,2.99,US,1680338849
29,punta arenas,-53.15,-70.9167,6.06,87,75,3.09,CL,1680338777
30,busselton,-33.65,115.3333,23.15,56,94,4.48,AU,1680338532
31,meadow lake,34.8014,-106.5436,5.73,38,38,2.53,US,1680338767
32,de aar,-30.6497,24.0123,23.65,42,10,4.43,ZA,1680338850
33,mangrol,21.1167,70.1167,28.22,54,1,6.88,IN,1680338851
34,longyearbyen,78.2186,15.6401,-11.09,79,75,4.63,SJ,1680338851
